learningRate,momentum,epochs,batchSize,valAccuracy
0.01,40,0.9,8,"tensor(0.7024, device='cuda:0', dtype=torch.float64)"
0.01,40,0.9,8,"tensor(0.6634, device='cuda:0', dtype=torch.float64)"
